,Date,Low,Open,Volume,High,Close,Adjusted Close
8709,02-01-2018,174.4199981689453,175.35000610351562,2301100,177.82000732421875,177.0,154.9276885986328
8710,03-01-2018,175.75999450683594,176.91000366210938,3084000,181.44000244140625,180.33999633789065,157.85118103027344
8711,04-01-2018,178.75,180.6300048828125,2021100,180.8600006103516,179.5800018310547,157.18592834472656
8712,05-01-2018,179.02999877929688,180.83999633789065,2211400,180.8800048828125,180.6499938964844,158.12246704101562
8713,08-01-2018,178.42999267578125,180.47999572753903,2356200,181.25,180.6000061035156,158.07872009277344
8714,09-01-2018,180.1199951171875,180.52999877929688,3031700,184.52999877929688,183.3800048828125,160.5120391845703
8715,10-01-2018,180.3699951171875,182.66000366210935,2542700,183.6999969482422,182.8600006103516,160.05691528320312
8716,11-01-2018,181.1000061035156,182.8600006103516,2101300,182.8600006103516,181.9600067138672,159.26918029785156
8717,12-01-2018,181.75,182.33999633789065,3111400,185.6100006103516,185.0399932861328,161.96502685546875
8718,16-01-2018,184.1699981689453,185.6199951171875,3374600,187.4499969482422,185.5399932861328,162.40267944335938
8719,17-01-2018,185.8999938964844,187.6999969482422,4018200,189.3000030517578,188.00999450683597,164.56468200683594
8720,18-01-2018,185.5,187.4499969482422,3084900,188.55999755859372,187.58999633789065,164.19703674316406
8721,19-01-2018,187.6000061035156,188.3600006103516,3652300,189.72000122070312,189.27999877929688,165.67628479003906
8722,22-01-2018,189.42999267578125,189.72999572753903,3579800,192.57000732421875,192.3300018310547,168.34596252441406
8723,23-01-2018,191.6000061035156,193.0,3486700,196.02999877929688,191.9900054931641,168.04835510253906
8724,24-01-2018,189.50999450683597,192.75,2765700,192.94000244140625,190.6300048828125,166.85797119140625
8725,25-01-2018,188.8999938964844,191.3999938964844,2470300,191.8000030517578,190.0800018310547,166.3765411376953
8726,26-01-2018,190.9900054931641,191.0500030517578,3920300,196.8000030517578,196.00999450683597,171.56704711914062
8727,29-01-2018,195.6499938964844,196.2100067138672,4565700,201.22999572753903,198.0,173.3088836669922
8728,30-01-2018,190.5500030517578,196.17999267578125,3990800,196.47000122070312,191.2700042724609,167.4181365966797
8729,31-01-2018,184.6499938964844,191.63999938964844,4677700,192.2700042724609,186.0500030517578,162.84909057617188
8730,01-02-2018,182.3300018310547,185.0,4078100,186.8300018310547,185.55999755859372,162.42022705078125
8731,02-02-2018,183.00999450683597,183.4600067138672,7029400,192.6000061035156,187.00999450683597,163.6893768310547
8732,05-02-2018,174.6199951171875,186.82000732421875,6922800,188.6000061035156,174.75,152.95822143554688
8733,06-02-2018,172.0399932861328,177.99000549316406,7527700,180.27999877929688,176.64999389648438,154.62132263183594
